epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.665,1.27623,3.27924,1.14489,0.44867,0.17449,0.18517,0.12307,1.2579,2.62967,1.06692,0.00030027,0.00030027,0.00030027
2,325.617,1.28123,2.00379,1.13147,0.46676,0.29564,0.29453,0.20103,1.15334,1.82103,1.06605,0.000483823,0.000483823,0.000483823
3,513.656,1.24112,1.68238,1.114,0.59541,0.35558,0.37136,0.25619,1.09602,1.66952,1.02904,0.000547387,0.000547387,0.000547387
4,692.139,1.15571,1.47332,1.07517,0.69204,0.39009,0.44046,0.30859,1.01632,1.27532,1.00857,0.000369054,0.000369054,0.000369054
5,868.876,1.06224,1.28129,1.04068,0.72965,0.42906,0.48282,0.34785,0.90935,1.1156,0.95844,0.000189072,0.000189072,0.000189072
